*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-02-24 00:41:15"
*GLOBAL*,title,"Euphausia pacifica (krill) lengths and biomass Trinidad Line Stations TH04, TH05"
*GLOBAL*,institution,"NOAA SWFSC; Cal Poly Humboldt"
*GLOBAL*,summary,"NOAA SWFSC; Cal Poly Humboldt"
*GLOBAL*,contributor_name,"Bjorkstedt"
*GLOBAL*,contributor_email,"eric.bjorkstedt@noaa.gov"
time,*DATA_TYPE*,String
time,units,"yyyy-MM-dd"
index,*DATA_TYPE*,float
index,units,"mg c m2"
index,long_name,"Krill Body Length and Biomass Measurements"
timeseries,*DATA_TYPE*,String
SEup,*DATA_TYPE*,float
SElo,*DATA_TYPE*,float
*END_METADATA*
"time","index","timeseries","SEup","SElo"
"13825-01",NaN,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",183.845105451844,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-244.036087520662,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",472.735413733405,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",910.64336552818,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-475.542093447049,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-667.793663919738,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-780.313148681948,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1284.22236183013,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-920.320608131805,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-973.219643152014,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-601.424479998621,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-655.153521386499,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-100.911354857886,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",186.262955472975,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",15.3227731915995,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-288.099047733701,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-185.41950122502,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-228.16103977393,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-611.592932652514,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-301.557556146928,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",906.971602534537,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-856.807170551784,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-1.52808579457485,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",25.1180479621046,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",2202.68948492369,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-924.046382279017,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-662.215597552932,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1059.40243092068,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",659.601757357891,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",427.206480512749,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",293.066403814012,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-371.534156367987,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-395.781940718378,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-206.178729032041,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-326.02378126316,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-357.061047120313,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1410.73738890728,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",758.710153411399,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-401.773594847504,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-543.839411526872,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-521.553168993443,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-132.571372089323,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-255.180281412778,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-382.638757287031,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-507.357101542505,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",19.2031466328375,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",625.830306308471,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",91.0287196683771,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-751.625493516796,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-25.551895880282,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-316.33762358691,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-154.277349790582,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-243.331589198579,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-433.602825133582,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-510.804954479857,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-674.236668569039,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-635.539384961737,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-270.417395137183,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-640.20900573038,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-39.0751869370819,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-435.044721160167,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-78.5477022946537,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-110.802673883352,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-173.051648465516,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-196.442794995591,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-406.0568786812,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-681.303940604097,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",31.3388090193428,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-203.508812056304,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-283.803463488037,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-528.165804925178,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-432.072166464169,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",534.855092334098,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",78.488319037335,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1556.28775968592,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",2982.82880330007,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-42.1473127164594,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-455.261668999398,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-13.7932177180893,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-321.022099480839,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-141.721249329375,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-300.952508561088,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-75.1983561105966,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-314.660993362161,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-308.553066722001,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-788.761271287482,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",227.447125112692,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-893.436277350936,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-504.00711287345,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",35.3661578812081,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-296.878290446399,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-418.361591354234,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",419.786516370927,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-367.246264088091,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",4165.46695883984,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-33.1776572030535,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1090.25088735391,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-633.010170037608,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",768.619000702887,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-453.64764736674,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-883.845206541536,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",912.775568953514,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",321.410468937247,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-363.36220206959,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-217.234274426372,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",94.4241836778532,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-123.878645394722,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-366.949621617899,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-795.830806649093,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-782.201842316688,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-691.686840656249,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",257.51852867837,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-320.49894443344,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-451.068696945217,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-347.872554527775,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-83.513667367358,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",276.752911922081,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-724.264134438443,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",1074.63944913468,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-786.947278506107,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-330.194178842759,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",453.885505625514,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",360.886264173253,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-184.135863600036,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-403.796796658945,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-643.681764210441,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-770.889324802108,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-262.486833024087,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-808.626631779741,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",139.421308554857,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
"13825-01",-629.29073792971,"Euphausia pacifica (krill) total biomass anomaly",NaN,NaN
*END_DATA*
